state,winner
AL,r
AK,r
AZ,r
AR,r
CA,d
CO,d
CT,d
DE,d
DC,d
FL,d
GA,r
HI,d
ID,r
IL,d
IN,r
IA,d
KS,r
KY,r
LA,r
ME,d
MD,d
MA,d
MI,d
MN,d
MS,r
MO,r
MT,r
NE,r
NV,d
NH,d
NJ,d
NM,d
NY,d
NC,r
ND,r
OH,d
OK,r
OR,d
PA,d
RI,d
SC,r
SD,r
TN,r
TX,r
UT,r
VT,d
VA,d
WA,d
WV,r
WI,d
WY,r
